1,ntu,28 . Vex Dckta~Foks Mz Nzamukxtr-krde Pawa Skul ,		ve -=x		mz	nz- a- mu kx tr -kr -=de	Pawa	skul	,	.	ve -=x		mz	nz- a- mu kx tr -kr -=de	Pawa	skul	,	.	accompany -=1minᵢ		PREP	nmlz CAUS eat SUBR holy nmlz.poss -=3minᵢᵢ	Pawa.school	be.schooled	,28. I accompany Doctor Fox When he Celebrates Holy Communion at Pawa School ,~~~,ML ID,No comment,SGM 28,	punct	V Nom1		PREP	V>N V:Any V SUBR V V>N A-D-P2	N	V	,~~~ punct ~~~ ~~~ PREP ~~~ ~~~ V ,		~~~ ~~~		~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	
2,ntu,Kzdq Satqde mzli kc milzpq rpim Dckta~Foks bange navex Pawa mz nzamukxtr-krde mz Sade . ,kzdq	Satqde	mzli	kc	milzpq	r- pi -mq		-=nge	na- ve -=x	Pawa	mz	nz- a- mu kx tr -kr -=de	mz	Sade		,kzdq	Satqde	mzli	kc	milzpq	r- pi -mq		-=nge	na- ve -=x	Pawa	mz	nz- a- mu kx tr -kr -=de	mz	Sade	.	,a	Saturday	time	which	evening	DETR say Pdir.hither		-=1minᵢᵢ	IRR accompany -=1minᵢ	Pawa.school	PREP	nmlz CAUS eat SUBR holy nmlz.poss -=3minᵢᵢ	PREP	Sunday	.	,One Saturday evening Doctor Fox told me I should accompany him to Pawa for him to celebrate holy communion on Sunday. ,~~~,ML ID,No comment,SGM 28,Det	PN	N	RPRN	N	V:(DETR) V V:(PDIR)		A-D-P2	V:(MOOD) V Nom1	N	PREP	V>N V:Any V SUBR V V>N A-D-P2	PREP	PN	punct	,~~~ PN N RPRN N ~~~ ~~~ A-D-P2 ~~~ ~~~ PREP ~~~ PREP PN punct ,~~~	~~~	~~~	~~~	~~~	~~~ ~~~ ~~~		~~~	~~~ ~~~ ~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~		
3.1,ntu,Nrlc kxngrlxobzle mz Sade tewa kc tqdcpe . ,nrlc	kx ngrlx -o -bz -=le	mz	Sade	tewa	kc	tq- dc -=pe		,nrlc	kx ngrlx -o -bz -=le	mz	Sade	tewa	kc	tq- dc -=pe	.	,place	SUBR daylight Gdir.down Pdir.thither -=3minᵢ	PREP	Sunday	rain	which	RL fall -=INCH*	.	,When it was daylight on Sunday it was raining. ,~~~,ML ID,No comment,SGM 28,N	SUBR V V:(GDIR) V:(PDIR) Nom1	PREP	PN	V	RPRN	V:(MOOD) V V	punct	,N ~~~ PREP PN V RPRN ~~~ punct ,~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~	~~~	~~~ ~~~ ~~~		
3.2,ntu,"Melzmc , ycpqtxpxx mzke' , yrlqtxbo lrpz ngr Sade x ninge kc tqvzpebo ma nyz Dckta~Foks . ",melz -mq -=x		ycpq -tx -px -=x	mz -=ke'		yrlq -tx -bo	lrpz	ngr	Sade	x	ni- -=nge	kc	tq- vz -=pe -bo	ma	nyz			,"melz -mq -=x	,	ycpq -tx -px -=x	mz -=nge	,	yrlq -tx -bo	lrpz	ngr	Sade	x	ni- -=nge	kc	tq- vz -=pe -bo	ma	nyz		.	","awaken Pdir.hither -=1minᵢ	,	wash INTS;.very Gdir.out -=1minᵢ	eye -=1minᵢᵢ	,	put INTS;.very .bz(dir).=o(1min).=>..bo	cloth	GEN1A	Sunday	CONJ1	ACC -=1minᵢᵢ	which	RL go -=INCH* .bz(dir).=o(1min).=>..bo	house	PCLF8		.	","I woke up, I washed my face, I put on Sunday clothes and then I went to Doctor Fox's house. ",~~~,ML ID,No comment,SGM 28,V V:(PDIR) Nom1	punct	V V:(INTNS) V:(GDIR) Nom1	N A-D-P2	punct	V V:(INTNS) V:Any	N	GEN	PN	CONJ	Attachestoanycategory A-D-P2	RPRN	V:(MOOD) V V V:Any	N	PCLF		punct	,~~~ punct ~~~ N punct ~~~ N GEN PN CONJ Pers pro RPRN ~~~ N PCLF ~~~ punct ,~~~ ~~~ ~~~		~~~ ~~~ ~~~ ~~~	~~~ None		~~~ ~~~ ~~~	~~~	~~~	~~~	~~~	~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~	~~~	~~~			
3.3,ntu,"Rpimle kx , “ Krlzu , na-aenzlitxki ena nzkqo-krm tewa .” ",r- pi -mq -=le	kx			krlzu		na- aenzli -tx -=ki	ena	nz- kq -o -kr -mq	tewa		,"r- pi -mq -=le	kx	,	“	krlzu	,	na- aenzli -tx -=ki	ena	nz- kq -o -kr -mq	tewa	.”	","DETR say Pdir.hither -=3minᵢ	SUBR	,	“	wait!	,	IRR wait INTS;.very -=12minᵢ	just	nmlz cover Gdir.down nmlz.poss Pdir.hither	rain	.”	","He said, ""Hey, we need to wait a bit for covering from the rain.""",~~~,ML ID,No comment,SGM 28,V:(DETR) V V:(PDIR) Nom1	SUBR	punct	punct	V	punct	V:(MOOD) V V:(INTNS) Nom1	<NotSure>	V>N V V:(GDIR) V>N V:(PDIR)	V	punct	,V Particle punct punct V punct ~~~ Adv ~~~ V punct ,~~~ ~~~ ~~~ ~~~	~~~			~~~		~~~ ~~~ ~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~		
3.4,ntu,Tewa kx kqomle kc nigr kc tqvzpekr . ,tewa	kx	kq -o -mq -=le	kc	nigr	kc	tq- vz -=pe -=kr		,tewa	kx	kq -o -mq -=le	kc	nigr	kc	tq- vz -=pe -=kr	.	,rain	SUBR	cover Gdir.down Pdir.hither -=3minᵢ	which	ACC.1augᵢᵢ	which	RL go -=INCH* -=1augᵢ	.	,"When the rain ""covered"" we left. ",~~~,ML ID,No comment,SGM 28,V	SUBR	V V:(GDIR) V:(PDIR) Nom1	RPRN	A-D-P2	RPRN	V:(MOOD) V V Nom1	punct	,V Particle ~~~ RPRN Pers pro RPRN V punct ,~~~	~~~	~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~		
3.5,ntu,"Vzbzkr mz kzdq mztea kxtopwz drtqde Akanipua , tewa sc tqetunepxpe mou . ",vz -bz -=kr	mz	kzdq	mztea	kx topwz	drtq -=de			tewa	sc-	tq- etu -ne -px -=pe	mou		,"vz -bz -=kr	mz	kzdq	mztea	kx topwz	drtq -=de		,	tewa	sc-	tq- etu -ne -px -=pe	mou	.	","go Pdir.thither -=1augᵢ	PREP	a	village	SUBR little	name -=3minᵢᵢ		,	rain	PFV	RL big intensifier Gdir.out -=INCH*	again	.	","We went to a small village named Akanipua, when the rain increased again. ",~~~,ML ID,No comment,SGM 28,V V:(PDIR) Nom1	PREP	Det	N	SUBR V	N A-D-P2		punct	V	V:(Procliticaspect)	V:(MOOD) V V:Any V:(GDIR) V	Adv	punct	,~~~ PREP Det N ~~~ N PN punct V ~~~ ~~~ Adv punct ,~~~ ~~~ ~~~	~~~	~~~	~~~	~~~ ~~~	~~~ ~~~			~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~		
3.6,ntu,"Dckta~Foks kx lxlvrkimle kc mq , murde nakamle abrelz kx na-adrvr-ngrbo bxli scde kc tqlux , nrlar narde kxrtc sc tqyrplatrpe me ngalu ngr kzdq nc nzlu kx yrngzpxm mz lrpzki . ",	kx	lxlvr -ki -mq -=le	kc	mq		murde	na- ka -mq -=le	abrelz	kx	na- a- drvr -ngr -bo	bxli	sc -=de	kc	tq- lu -=x		nrlar	-=de	kx rtc	sc-	tq- yrpla -tr -=pe	me	ngalu	ngr	kzdq	nc	nzlu	kx	yrngz -px -m	mz	lrpzki		,"	kx	lxlvr -ki -mq -=le	kc	mq	,	murde	na- ka -mq -=le	abrelz	kx	na- a- drvr -ngr -bo	bxli	sc -=de	kc	tq- lu -=x	,	nrlar	-=de	kx rtc	sc-	tq- yrpla -tr -=pe	me	ngalu	ngr	kzdq	nc	nzlu	kx	yrngz -px -m	mz	lrpzki	.	","	SUBR	turn Udir.path Pdir.hither -=3minᵢ	which	hand	,	because	IRR give Pdir.hither -=3minᵢ	umbrella	SUBR	IRR CAUS cover.from.rain APP .bz(dir).=o(1min).=>..bo	basket	PCLF1 -=3minᵢᵢ	which	RL live -=1minᵢ	,	side	-=3minᵢᵢ	SUBR right	PFV	RL bang Gdir.in -=INCH*	place	crooked	GEN1A	a	tree	coconut	SUBR	bow Gdir.out ~~~	PREP	road	.	","Dr. Fox, when he turned his hand (toward me) so that he might give me the umbrella for me to put down in his bag which I carried on my neck, the right side of his head banged into a crooked place on a coconut tree that bowed out over the road. ",~~~,ML ID,No comment,SGM 28,	SUBR	V V:(UDIR) V:(PDIR) Nom1	RPRN	N	punct	CONJ	V:(MOOD) V V:(PDIR) Nom1	N	SUBR	V:(MOOD) V:Any V V:(APP) V:Any	N	PCLF A-D-P2	RPRN	V:(MOOD) V Nom1	punct	N	A-D-P2	SUBR V	V:(Procliticaspect)	V:(MOOD) V V:(GDIR) V	<NotSure>	V	GEN	Det	N	N	SUBR	V V:(GDIR) ~~~	PREP	N	punct	,~~~ Particle ~~~ RPRN PCLF punct CONJ ~~~ N Particle V N Poss pro RPRN ~~~ punct N ~~~ ~~~ ~~~ ~~~ V V GEN Det N N Particle ~~~ PREP N punct ,	~~~	~~~ ~~~ ~~~ ~~~	~~~	~~~		~~~	~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~ ~~~ ~~~ ~~~ ~~~	~~~	~~~ ~~~	~~~	~~~ ~~~ ~~~		~~~	~~~	~~~ ~~~	~~~	~~~ ~~~ ~~~ ~~~	~~~	~~~	~~~	~~~	~~~	~~~	~~~	~~~ ~~~ ~~~	~~~	~~~		
3.7,ntu,"Rpibo kx , “ Sore , Dckta !” ",r- pi -bo	kx			sore		dckta		,"r- pi -bo	kx	,	“	sore	,	dckta	!”	","DETR say .bz(dir).=o(1min).=>..bo	SUBR	,	“	sorry	,	doctor	!”	",,~~~,ML ID,No comment,SGM 28,V:(DETR) V V:Any	SUBR	punct	punct	V	punct	N	punct	,~~~ Particle punct punct V punct N punct ,~~~ ~~~ ~~~	~~~			~~~		~~~		
3.8,ntu,"X rpimle kx , “ Sa tqmrlz ye .” ",x	r- pi -mq -=le	kx			sa	tq- mrlz	ye		,"x	r- pi -mq -=le	kx	,	“	sa	tq- mrlz	ye	.”	","CONJ1	DETR say Pdir.hither -=3minᵢ	SUBR	,	“	future	RL be.good	instead	.”	","And he said to me, ""That's alright."" ",~~~,ML ID,No comment,SGM 28,CONJ	V:(DETR) V V:(PDIR) Nom1	SUBR	punct	punct	Particle	V:(MOOD) V	<NotSure>	punct	,CONJ V Particle punct punct Particle ~~~ CONJ punct ,~~~	~~~ ~~~ ~~~ ~~~	~~~			~~~	~~~ ~~~	~~~		
